Descripcion_1,Descripcion_2,precio,mt2,latitud,longitud,Nombre_sector
Departamento,Departamento,89800,130,-0.1600696202482791,-78.47494231452717,El Inca
Oficina/Consultorio,Oficina/Consultorio,185000,114,-0.1820531476285638,-78.47714460915897,Iñaquito
Casa,Casa,840000,1470,-0.2016574430087921,-78.48345959615611,La Paz
Local,Local,315000,735,-0.1927621477836101,-78.49963388988637,Belisario Quevedo
Departamento,Departamento,132000,91,-0.1807530327314098,-78.47869570851925,Iñaquito
Lote,Lote,290000,2686,-0.1224637152258311,-78.46508265650192,Comite del Pueblo
Departamento,Departamento,180000,166,-0.1864471976850785,-78.47972736253807,Iñaquito
Departamento,Departamento,103244,58,-0.2079170242494703,-78.49337305463587,Mariscal Sucre
Departamento,Departamento,171360,131,-0.1579592877449671,-78.4790487283969,El Inca
Departamento,Departamento,158000,66,-0.1830512214368156,-78.48365287778007,Iñaquito
Departamento,Departamento,113000,95,-0.1950503877371766,-78.47793841562485,La Paz
Departamento,Departamento,95000,60,-0.1829924214087797,-78.48307030888797,Iñaquito
Departamento,Departamento,108000,57,-0.1891044007526098,-78.48703370977364,Iñaquito
Departamento,Departamento,175000,115,-0.1818983490542733,-78.48019831081899,Iñaquito
Oficina/Consultorio,Oficina/Consultorio,175000,67,-0.2062332757766837,-78.4912021511202,Mariscal Sucre
Casa,Casa,125000,245,-0.08761245909093539,-78.46893007528706,Carcelen
Local,Local,2200000,2300,-0.1693455135123632,-78.48437448891816,Iñaquito
